Index,Name,Liga,Marktwert,Land,Position,TimeL,TimeI,TimeSum,xGoalL,xGoalI,xGoalSum,Save%,Goals,Assists,Age,GCA,Team,Gelb,Rot,GoalValue
0,Etrit Berisha,Serie A,500.000,Albanien,Torwart,1260,0,1260,0,0,0,"68,9",0,0,35,0,Empoli,0,0,0
1,Berat Djimsiti,Serie A,10.000.000,Albanien,Verteidiger,2832,1043,3875,"0,8","0,4","1,2",0,1,1,31,1,Atalanta,5,0,"-0,2"
2,Ardian Ismajli,Serie A,3.000.000,Albanien,Verteidiger,2045,0,2045,"0,3",0,"0,3",0,0,0,27,1,Empoli,2,0,"-0,3"
3,Mario Mitaj,Premier Liga (R),2.000.000,Albanien,Verteidiger,1073,0,1073,0,0,0,0,0,0,20,0,Lokomotiv Moscow,4,0,0
4,Elseid Hysaj,Serie A,2.500.000,Albanien,Verteidiger,1199,340,1539,"0,2",0,"0,2",0,0,0,30,1,Lazio,2,0,"-0,2"
5,Kristjan Asllani,Serie A,18.000.000,Albanien,Mittelfeld,787,205,992,"0,6","0,1","0,7",0,1,2,22,5,Inter Mailand,1,0,"0,3"
6,Ylber Ramadani,Serie A,4.000.000,Albanien,Mittelfeld,2970,0,2970,1,0,1,0,1,0,28,0,Lecce,13,0,0
7,Nedim Bajrami,Serie A,4.500.000,Albanien,Mittelfeld,1310,0,1310,"2,5",0,"2,5",0,2,2,25,6,US Sassuolo,0,0,"-0,5"
8,Rey Manaj,Süper Lig,5.000.000,Albanien,Sturm,2503,0,2503,0,18,18,0,18,3,27,0,Sivasspor,11,0,0
9,Armando Broja,Premiere League ,22.000.000,Albanien,Sturm,542,0,542,"2,4",0,"2,4",0,1,1,22,1,Fulham,0,0,"-1,4"
10,Arber Hoxha,HNL,1.800.000,Albanien,Sturm,2376,271,2647,"0,4",1,"1,4",0,7,2,25,2,Dinamo Zagreb,4,0,"5,6"
11,Kasper Schmeichel,Jupiler Pro League,1000000,Dänemark,Torwart,2070,0,2070,0,0,0,80,0,0,37,0,RSC Anderlecht,1,0,0
12,Andreas Christensen,La Liga,40000000,Dänemark,Verteidiger,1979,439,2418,1,"0,7","1,7",0,3,2,28,3,FC Barcelona,4,0,"1,3"
13,Joachim Andersen,Premiere League ,35000000,Dänemark,Verteidiger,3415,0,3415,"1,7",0,"1,7",0,2,3,28,5,Crystal Palace,7,0,"0,3"
14,Victor Kirstiansen,Serie A,15000000,Dänemark,Verteidiger,2307,0,2307,"0,3",0,"0,3",0,0,3,21,7,FC Bologna,4,0,"-0,3"
15,Joakim Maehle,Bundesliga,14000000,Dänemark,Verteidiger,2.452,0,2.452,"1,4",0,"1,4",0,2,3,27,10,Wolfsburg,5,0,"0,6"
16,Christian Eriksen,Premiere League ,8000000,Dänemark,Mittelfeld,1141,203,1344,1,"0,4","1,4",0,1,3,32,4,Manchester United,1,0,"-0,4"
17,Christian Norgaard,Premiere League ,18000000,Dänemark,Mittelfeld,2505,0,2505,"3,5",0,"3,5",0,2,1,30,3,FC Brentford,8,0,"-1,5"
18,Pierre-Emile Hojbjerg,Premiere League ,18000000,Dänemark,Mittelfeld,1311,0,1311,"0,7",0,"0,7",0,0,0,28,2,Tottenham,4,0,"-0,7"
19,Jonas Wind,Bundesliga,20000000,Dänemark,Sturm,2651,0,2651,"9,4",0,"9,4",0,11,7,25,14,Wolfsburg,3,0,"1,6"
20,Andreas Skov Olsen,Jupiler Pro League,18000000,Dänemark,Sturm,2126,459,2585,"7,7","3,3",11,0,14,6,24,12,FC Brügge,3,0,3
21,Mikkel Damsgaard,Premiere League ,10000000,Dänemark,Sturm,842,0,842,"0,9",0,"0,9",0,0,2,23,5,FC Brentford,2,0,"-0,9"
22,Manuel Neuer,Bundesliga,4000000,Deutschland,Torwart,2.054,0,2.054,0,0,0,"70,04",0,0,38,0,Bayern Munich,1,0,0
23,Antonio Rüdiger,La Liga,25000000,Deutschland,Verteidiger,2709,1040,3749,"1,5","0,7","2,2",0,1,2,31,7,Real Madrid,0,0,"-1,2"
24,Jonathan Tah,Bundesliga,30000000,Deutschland,Verteidiger,2631,947,3578,"2,1","0,3","2,4",0,4,1,28,5,Bayer 04 Leverkusen,6,0,"1,6"
25,Maximilian Mittelstädt,Bundesliga,17000000,Deutschland,Verteidiger,2103,0,2103,"0,9",0,"0,9",0,2,3,27,8,VfB Stuttgart,5,0,"1,1"
26,Joshua Kimmich,Bundesliga,50000000,Deutschland,Verteidiger,2176,1080,3256,"1,1","0,7","1,8",0,2,8,29,15,Bayern Munich,1,1,"0,2"
27,Ilkay Gündogan,La Liga,16000000,Deutschland,Mittelfeld,2994,836,3830,"7,3","0,9","8,2",0,5,13,33,20,FC Barcelona,5,0,"-3,2"
28,Toni Kroos,La Liga,12000000,Deutschland,Mittelfeld,2124,858,2982,"1,6","0,3","1,9",0,1,10,34,16,Real Madrid,2,0,"-0,9"
29,Florian Wirtz,Bundesliga,130000000,Deutschland,Mittelfeld,2372,702,3074,"8,9","2,6","11,5",0,15,15,21,29,Bayer 04 Leverkusen,3,0,"3,5"
