Goals,Yellow,Red,FreeKick,Eleven,Corner,Offside,OnTarget,OffTarget,Str,Result
1,4,0,4,0,0,3,0,0,0.36666666666666664,1
1,5,1,4,0,0,5,3,0,0.6333333333333333,1
0,0,0,1,0,1,0,0,1,0.25555555555555554,0
3,0,0,5,0,1,2,7,5,0.7444444444444445,3
1,4,3,1,0,0,4,0,0,0.2111111111111111,0
5,2,1,4,0,3,3,13,1,0.7888888888888889,3
0,6,0,1,0,1,2,0,0,0.25555555555555554,0
2,1,0,8,0,4,1,7,8,0.7444444444444445,3
0,5,0,2,0,0,1,1,0,0.3,0
4,0,0,7,2,3,4,3,2,0.7,3
1,1,1,2,0,4,2,0,2,0.26666666666666666,1
1,0,1,9,0,4,1,3,0,0.7333333333333333,1
0,2,0,2,0,2,2,2,0,0.3111111111111111,0
1,1,0,7,0,7,3,4,5,0.6888888888888889,3
1,7,0,3,0,2,2,0,1,0.24444444444444444,0
2,3,0,14,0,1,3,4,1,0.7555555555555555,3
1,2,0,2,0,2,3,1,0,0.3111111111111111,1
1,1,0,4,0,5,3,3,1,0.6888888888888889,1
0,3,0,0,0,1,2,1,1,0.3333333333333333,0
2,1,0,9,0,2,3,6,5,0.6666666666666666,3
1,3,0,5,1,1,1,0,0,0.5444444444444444,1
1,3,1,6,0,1,3,1,0,0.45555555555555555,1
0,6,2,0,0,0,2,1,1,0.3333333333333333,0
3,0,0,6,2,0,5,1,1,0.6666666666666666,3
0,1,1,1,0,1,1,0,1,0.36666666666666664,1
0,0,0,6,0,2,4,3,2,0.6333333333333333,1
1,6,1,5,0,2,0,1,0,0.36666666666666664,0
3,4,0,8,1,1,2,2,0,0.6333333333333333,3
1,1,0,4,1,0,2,0,0,0.3888888888888889,0
2,4,0,3,0,2,7,3,3,0.6111111111111112,3
0,3,0,1,0,2,0,0,0,0.5333333333333333,1
0,2,0,6,0,1,2,2,1,0.4666666666666667,1
1,4,0,4,0,0,0,4,0,0.3888888888888889,1
1,2,1,6,0,0,7,3,4,0.6111111111111112,1
2,3,0,4,1,2,0,1,0,0.4777777777777778,3
1,2,0,5,0,2,2,0,0,0.5222222222222223,0
1,3,2,4,0,1,4,0,0,0.37777777777777777,1
1,1,0,5,0,2,4,2,1,0.6222222222222222,1
1,2,1,3,0,3,1,0,1,0.43333333333333335,3
0,0,0,8,0,0,2,1,2,0.5666666666666667,0
1,5,1,3,1,0,1,0,0,0.37777777777777777,0
2,2,0,4,0,0,2,3,1,0.6222222222222222,3
1,2,0,4,1,1,1,2,0,0.4888888888888889,3
0,2,0,4,0,1,4,0,1,0.5111111111111111,0
0,2,0,2,0,1,3,1,0,0.4777777777777778,0
1,0,0,3,0,1,1,2,0,0.5222222222222223,3
1,4,0,3,0,0,4,1,1,0.3,0
2,3,0,4,0,2,3,5,3,0.7,3
1,2,0,2,0,1,4,0,1,0.4,3
0,2,0,3,0,3,2,5,1,0.6,0
0,4,0,1,0,0,1,0,1,0.23333333333333334,0
2,3,0,3,0,5,8,4,3,0.7666666666666667,3
0,4,0,1,0,1,1,2,0,0.4,0
2,1,1,3,0,4,0,5,1,0.6,3
0,6,0,3,0,1,2,3,0,0.4444444444444444,1
